M_CH3OH,x_CH3OH,ET
0.20927690960763926,0.9797642601967536,0.07541130884734853
0.42178627351145453,0.9962683756302615,0.2710607674772987
0.18908603588121994,0.7830819725285807,0.12164357773021786
0.25097746236754126,0.998287524569385,0.2690348404853251
0.2852626716923838,0.9923762325996137,0.29097670695724465
0.6642309650241807,0.9979304513814318,0.8356695063217908
0.5717449698244774,0.9939390942181439,0.8688581776982744
0.23048631064922692,0.995171255629338,0.15988689001131764
0.24192104374700857,0.9908590056947466,0.1511204842942259
0.6374479056139694,0.9957532146572834,0.33193934073108256
0.2981260741789539,0.9919606375760208,0.1009820618319765
0.20449361726448473,0.9875689318147367,0.04831942357228017
0.13883982302540054,0.9762755575109681,0.15663505430275723
0.21749136660470544,0.9779343528333928,0.21183700125776392
0.9665011405953463,0.9975394551402645,0.36587367242287705
0.3714089079169123,0.9947421470049387,0.7493269542270681
0.4258717612508225,0.7959467887117666,0.19300160727826457
0.5902866745863132,0.9952755041676122,0.4012521151391425
0.5406339616043344,0.994505967888599,0.2922905260957187
0.3290158459270748,0.9958492160656516,0.17337297344172412
0.7928103132283176,0.7725131591270362,0.4526766949571628
0.5206137759546255,0.9945315173108116,0.630303768161105
0.480417764870782,0.9976976847560273,0.27917183691216874
0.7547432635414169,0.6958927614571644,0.48192526645157563
0.4297710303241597,0.9961421426528483,0.30668898380668186
0.801682319188911,0.5507608232851078,0.3640039044384228
0.6811526306521675,0.9692241527362959,0.5568213226456585
0.294271854792441,0.9839881361852425,0.3664782340564754
0.9553892184463508,0.5906742630037114,0.3945302166249194
0.46041240859788074,0.6119903986855582,0.16202022671740615
0.5373404110338653,0.9952395863830203,0.2558236946394312
0.1675626630110431,0.98070902813822,0.07234009501653776
0.4773144764568612,0.7740684632396928,0.18152401662147846
0.7786435611846398,0.9966589114134241,0.5962083750032195
0.5838484861882869,0.9322359928619572,0.4251438580483191
0.18672590256536523,0.986597029425029,0.35303883742684883
0.3364538222505178,0.9941897352355042,0.4247799042443623
0.4284094941363212,0.9974432783384974,0.4192941817358694
0.46826071616621306,0.7865129808489832,0.15885438079107111
