arquitetura,output,k,r2_8,r2_k,delta_r2,delta_r2_boot_medio,ic_inf,ic_sup,equivalente
RF,M_CH3OH,5,0.9143022441109695,0.8403955671226434,0.07390667698832609,0.07572882202764936,0.045130858429419454,0.10904513970290382,False
RF,M_CH3OH,6,0.9143022441109695,0.9143194591366333,-1.721502566376376e-05,-7.311324478185877e-05,-0.005127018174249498,0.005474040363085408,True
RF,x_CH3OH,4,0.9012337293324316,0.8314530931303918,0.06978063620203978,0.07058735087748204,0.03168166330230594,0.12846684841900824,False
RF,x_CH3OH,5,0.9012337293324316,0.8519849252866377,0.049248804045793904,0.05080596972876155,0.017372776475171874,0.0984867322230033,False
RF,x_CH3OH,6,0.9012337293324316,0.9093821061180051,-0.008148376785573452,-0.008272843861533067,-0.01333652109833576,-0.004114504554452403,True
RF,ET,4,0.9240210046919527,0.8334042013424022,0.09061680334955047,0.09065473199412245,0.05484784981542173,0.12712353212061359,False
RF,ET,5,0.9240210046919527,0.9306125651425519,-0.006591560450599165,-0.0064041998379481095,-0.014314225778538577,0.0008050338256540768,True
RF,ET,6,0.9240210046919527,0.9301230015522635,-0.0061019968603107655,-0.005959062853022433,-0.010140396539195443,-0.0018216388293541082,True
XGBoost,M_CH3OH,4,0.9601616219675205,0.6445266503228411,0.31563497164467946,0.3187846209366192,0.2420804632314231,0.40889132799531897,False
XGBoost,M_CH3OH,5,0.9601616219675205,0.8760007666980438,0.0841608552694767,0.08589609542341804,0.058257400823175765,0.11884652563341798,False
XGBoost,M_CH3OH,6,0.9601616219675205,0.9505440869974058,0.00961753497011475,0.009938085549133231,0.0032679891416169645,0.0174569138794849,True
XGBoost,x_CH3OH,4,0.9451462407709462,0.8175724284183039,0.1275738123526423,0.13255678085614353,0.07354977621085566,0.21101730301254115,False
XGBoost,x_CH3OH,5,0.9451462407709462,0.8671719452591966,0.07797429551174961,0.08085419607959789,0.036716493252035985,0.14441064272934925,False
XGBoost,x_CH3OH,6,0.9451462407709462,0.9353723059854303,0.009773934785515914,0.010101862169576911,-0.0018882684106989454,0.029591357111075575,False
XGBoost,ET,4,0.9634319912455824,0.8474530948838552,0.1159788963617272,0.11601810479898192,0.07873822988435536,0.16012179770298104,False
XGBoost,ET,5,0.9634319912455824,0.9613872549836665,0.002044736261915925,0.002290879163508213,-0.007535847426937978,0.011946347746015572,True
XGBoost,ET,6,0.9634319912455824,0.9713744196348845,-0.007942428389302036,-0.007875263063879723,-0.016918833566505014,0.0004142943661637082,True
ANN,M_CH3OH,4,0.9845916053764578,0.6407663405984929,0.34382526477796493,0.3497467948037472,0.2690083386148433,0.445277682201506,False
ANN,M_CH3OH,5,0.9845916053764578,0.8601373013333712,0.12445430404308666,0.12650018439746305,0.08226263867125574,0.1822264509700284,False
ANN,M_CH3OH,6,0.9845916053764578,0.9701824396845216,0.014409165691936288,0.014526620426945181,0.006376116528543629,0.02376750841840486,False
ANN,x_CH3OH,4,0.9689217828006961,0.842669986101597,0.12625179669909903,0.12874566435639212,0.06549476184071686,0.21142760668672925,False
ANN,x_CH3OH,5,0.9689217828006961,0.874817279177803,0.09410450362289302,0.09668315448187113,0.04834975759246478,0.16447733566082123,False
ANN,x_CH3OH,6,0.9689217828006961,0.9811923818268561,-0.012270599026160012,-0.012482758311162273,-0.02355952158353595,-0.0033239812960963195,True
ANN,ET,4,0.9647487103200514,0.8340294737716838,0.1307192365483676,0.12885059295138068,0.07124267486523807,0.20417090261696894,False
ANN,ET,5,0.9647487103200514,0.9663654765402206,-0.0016167662201692634,-0.0017748460631564736,-0.014051656879912352,0.007491376151617579,True
ANN,ET,6,0.9647487103200514,0.9732021333130971,-0.008453422993045745,-0.008496548302996008,-0.018354739410054985,0.0008519783841491712,True
